Metric,Baseline (v2),Europe (v3),Advanced (v4)
RPS (↓),0.20304,0.20305,0.20282
Brier Score (↓),0.59431,0.59429,0.59319
ECE Home (↓),0.02496,0.02339,0.03024
ECE Draw (↓),0.01557,0.01385,0.01731
ECE Away (↓),0.0189,0.01681,0.02821
ECE Mean (↓),0.01981,0.01802,0.02525
