fixture_id,home_shots_on_goal,away_shots_on_goal,home_shots_off_goal,away_shots_off_goal,home_total_shots,away_total_shots,home_blocked_shots,away_blocked_shots,home_shots_insidebox,away_shots_insidebox,home_shots_outsidebox,away_shots_outsidebox,home_fouls,away_fouls,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,home_ball_possession,away_ball_possession,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_total_passes,away_total_passes,home_passes_accurate,away_passes_accurate,home_passes_pct,away_passes_pct,home_expected_goals,away_expected_goals
9741,4.0,2.0,1.0,2.0,9.0,4.0,4.0,0.0,2.0,2.0,7.0,2.0,15.0,19.0,3.0,2.0,0.0,2.0,73.0,27.0,4.0,3.0,0.0,0.0,1.0,4.0,706.0,255.0,613.0,168.0,87.0,66.0,,
35738,4.0,5.0,13.0,2.0,22.0,12.0,5.0,5.0,9.0,6.0,13.0,6.0,13.0,12.0,5.0,3.0,,,39.0,61.0,1.0,4.0,0.0,0.0,3.0,3.0,406.0,645.0,335.0,562.0,83.0,87.0,,
11752,5.0,7.0,2.0,3.0,8.0,14.0,1.0,4.0,6.0,7.0,2.0,7.0,16.0,10.0,2.0,8.0,4.0,0.0,35.0,65.0,4.0,2.0,,,5.0,4.0,329.0,606.0,225.0,502.0,68.0,83.0,,
11091,3.0,4.0,10.0,2.0,15.0,8.0,2.0,2.0,9.0,3.0,6.0,5.0,13.0,10.0,11.0,3.0,2.0,1.0,57.0,43.0,2.0,2.0,0.0,0.0,3.0,2.0,465.0,355.0,343.0,248.0,74.0,70.0,,
8891,7.0,1.0,4.0,3.0,16.0,8.0,5.0,4.0,10.0,5.0,6.0,4.0,10.0,15.0,8.0,6.0,1.0,2.0,49.0,51.0,3.0,2.0,0.0,0.0,1.0,6.0,398.0,400.0,278.0,283.0,70.0,71.0,,
9740,3.0,3.0,5.0,8.0,12.0,14.0,4.0,3.0,8.0,11.0,5.0,4.0,11.0,14.0,8.0,6.0,1.0,2.0,60.0,40.0,3.0,3.0,0.0,0.0,2.0,3.0,448.0,300.0,350.0,206.0,78.0,69.0,,
9739,5.0,6.0,3.0,7.0,9.0,16.0,1.0,3.0,5.0,10.0,4.0,6.0,18.0,13.0,2.0,4.0,3.0,5.0,32.0,68.0,2.0,1.0,1.0,0.0,4.0,5.0,354.0,778.0,279.0,693.0,79.0,89.0,,
8890,7.0,3.0,10.0,4.0,21.0,11.0,4.0,4.0,9.0,8.0,12.0,3.0,9.0,8.0,12.0,7.0,1.0,1.0,58.0,42.0,,,0.0,0.0,2.0,5.0,504.0,359.0,424.0,287.0,84.0,80.0,,
35737,7.0,1.0,8.0,1.0,19.0,5.0,4.0,3.0,13.0,3.0,6.0,2.0,13.0,10.0,7.0,2.0,2.0,1.0,70.0,30.0,1.0,2.0,0.0,1.0,1.0,4.0,616.0,268.0,553.0,184.0,90.0,69.0,,
8889,7.0,5.0,8.0,10.0,20.0,19.0,5.0,4.0,9.0,8.0,11.0,11.0,7.0,16.0,13.0,2.0,6.0,0.0,49.0,51.0,1.0,1.0,1.0,0.0,2.0,6.0,428.0,461.0,335.0,390.0,78.0,85.0,,
